Наименование,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Всего по  экономике,2223.4,3240.4,4360.3,5498.5,6739.5,8554.9,10633.9,13593.4,17290.1,18637.5,20952.2,23369.2,26628.9,29792.0,32495.0,34030.0,36709.0
"Сельское хозяйство, охота и лесное хозяйство",985.1,1434.6,1876.4,2339.8,3015.4,3646.2,4568.7,6143.8,8474.8,9619.2,10668.1,12464.0,14129.4,15724.0,17724.0,19721.0,21755.0
"Рыболовство, рыбоводство",2845.6,3839.3,5031.3,5444.5,7084.9,10233.5,12310.8,14797.0,19498.9,22913.5,23781.9,25939.9,29201.4,32437.3,37062.0,46676.0,54927.0
Добыча полезных ископаемых,5940.2,9099.2,11080.9,13912.4,16841.7,19726.9,23145.2,28107.5,33206.1,35363.4,39895,45132.0,50400.6,54161.2,58959.0,63695.0,69936.0
  добыча топливно-энергетических  полезных ископаемых,6985.1,10905.4,13080.3,16135.5,19903.3,23455.9,27614.5,33275.5,39051.3,41568.3,46271.2,51587.9,57209.7,61084.1,66780.0,71418.0,77586.0
"  добыча полезных ископаемых,  кроме топливно-энергетических",3999.5,5386.5,7035.0,9395.7,10876.6,13176.0,15363.7,19092.7,22937.4,24064.1,28305.8,33580.1,38267.3,41754.4,44441.0,48724.0,54513.0
Обрабатывающие производства,2365.2,3446.6,4439.1,5603.4,6848.9,8420.9,10198.5,12878.7,16049.9,16583.1,19078,21780.8,24511.7,27044.5,29511.0,31910.0,34592.0
"  производство пищевых продуктов,   включая напитки, и табака",2183.4,3126.7,4065.9,5026.7,6065.8,7303.8,8806.7,11069.2,13930.4,15653.1,17316.9,19094.0,21104.8,23326.9,25081.0,26793.0,28779.0
  текстильное и швейное производство,1214.8,1764.8,2241.7,2803.0,3356.5,3986.0,4964.3,6589.5,8453.6,9020.5,10302.1,11004.4,12095.4,13488.5,14453.0,15758.0,17065.0
"  производство кожи, изделий из   кожи и производство обуви",1347.8,1986.1,2621.1,3230.0,3774.7,4695.3,5649.1,7537.0,9522.3,10073.2,11345.8,12350.9,13135.7,14725.1,16119.0,17796.0,19847.0
  обработка древесины и производство изделий из дерева,1739.1,2310.3,2980.2,3754.8,4614.6,5895.4,6950.4,8815.6,11301.1,10947.2,12720.4,13941.9,15248.3,16949.7,18628.0,20365.0,22383.0
  целлюлозно-бумажное производство; издательская и полиграфическая деятельность,2736.6,4309.0,5480.2,6848.4,7892.0,9418.6,10923.6,13792.0,17631.7,17707.1,20104.3,23710.2,26311.6,28504.9,29222.0,30148.0,32399.0
  производство кокса и нефтепродуктов,4916.3,7012.4,9625.3,11879.0,13729.3,19397.1,22319.6,28565.0,34912.5,37963.7,41563.4,48462.6,59195.0,64760.1,75517.0,81605.0,88194.0
  химическое производство,2754.6,3901.8,4899.5,6154.8,7682.7,9928.3,11599.3,14615.9,18219.9,19428.7,22228.7,25582.7,28900.5,32513.5,36218.0,39342.0,43318.0
  производство резиновых и  пластмассовых изделий,2140.4,3032.2,3957.1,4950.7,5956.8,6879.2,8767.7,11082.6,13464.0,13850.6,15766.4,17713.3,19758.3,21599.3,23270.0,25006.0,27565.0
  производство прочих неметаллических минеральных продуктов,2182.0,3220.0,4134.2,5207.8,6422.4,7921.8,9983.8,13193.3,16371.8,16053.7,18117.5,20518.0,23180.4,25458.3,27335.0,28051.0,28909.0
  металлургическое производство и  производство готовых металлических изделий,3854.9,5242.4,6285.2,7731.2,9196.8,10260.7,12001.5,14990.7,18171.1,17946.3,21152.1,23887.1,26564.2,28519.8,30437.0,33059.0,35310.0
  производство машин и оборудования,1975.3,3073.5,4066.6,5169.7,6514.2,8379.8,10418.0,13479.8,16940.0,17009.6,20102.5,22777.9,25671.0,28230.7,30268.0,32246.0,35469.0
"  производство электрооборудования, электронного и оптического оборудования",2003.6,2998.8,3815.7,5108.5,6431.7,8218.8,10289.8,13114.4,16608.9,17360.4,20177.8,23375.3,26353.8,29354.1,32779.0,36765.0,39998.0
  производство транспортных средств и оборудования,2454.1,3664.6,5099.9,6365.0,7828.0,9377.4,11431.2,14013.6,17330.9,17367.8,20766.4,24503.1,27659.5,30724.4,33736.0,36139.0,39603.0
  прочие производства,2053.2,2738.2,3279.3,4045.2,5182.0,6386.8,8278.0,10114.1,12593.4,12543.1,13674.2,15573.3,17146.0,18736.3,19711.0,21533.0,21941.0
"Производство и распределение электроэнергии, газа и воды",3156.5,4434.8,5869.4,7235.3,8641.8,10637.3,12827.5,15587.3,19057.4,21554.2,24156.4,26965.5,29437.1,32230.5,34808.0,36865.0,39629.0
Строительство,2639.8,3859.3,4806.9,6176.7,7304.7,9042.8,10869.2,14333.4,18574.0,18122.2,21171.7,23682.0,25950.6,27701.4,29354.0,29960.0,32332.0
"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования",1584.5,2294.9,3068.9,3974.2,4906.2,6552.1,8234.9,11476.3,14927.4,15958.6,18405.9,19613.2,21633.8,23167.8,25601.0,26947.0,30030.0
Гостиницы и рестораны,1640.0,2403.6,3039.3,3966.7,4737.3,6033.4,7521.7,9339.0,11536.2,12469.6,13465.8,14692.5,16631.1,18304.4,19759.0,20626.0,22041.0
Транспорт и связь,3220.2,4304.2,5851.5,7471.3,9319.9,11351.1,13389.9,16452.3,20760.8,22400.5,25589.9,28608.5,31444.1,34575.7,37011.0,38982.0,41510.0
     из них связь,2879.2,4131.2,5661.5,7304.2,8974.2,11389.1,13220.3,16042.6,19918.1,20923.1,24275,26995.0,28700.9,31346.4,33705.0,34958.0,37984.0
Финансовая деятельность,5232.2,8885.2,13245.9,15561.2,17383.8,22463.5,27885.5,34879.8,41871.8,42372.9,50120,55788.9,58999.2,63333.0,68565.0,70088.0,80289.0
"Операции с недвижимым имуществом, аренда и предоставление услуг",2456.7,3545.6,4677.1,6196.3,7795.4,10236.8,12763.2,16641.6,21275.0,22609.7,25623.4,28239.3,30925.8,33846.3,37559.0,39815.0,43737.0
Государственное управление и обеспечение военной безопасности; социальное страхование,2712.1,3754.9,5200.4,6913.8,7898.6,10958.5,13477.3,16896.3,21344.1,23960.0,25120.8,27755.5,35701.4,40448.7,42659.0,41916.0,43611.0
Образование,1240.2,1833.0,2927.3,3386.6,4203.4,5429.7,6983.3,8778.3,11316.8,13293.6,14075.2,15809.1,18995.3,23457.9,25862.0,26928.0,28088.0
Здравоохранение и предоставление социальных услуг,1333.3,1959.9,3141.3,3662.6,4612.0,5905.6,8059.9,10036.6,13048.6,14819.5,15723.8,17544.5,20640.7,24438.6,27068.0,28179.0,29742.0
"Предоставление прочих коммунальных, социальных и персональных услуг",1548.0,2311.7,3183.1,3920.3,4822.7,6291.0,7996.4,10392.2,13538.6,15070.0,16371.4,18200.3,20984.5,24739.9,27876.0,30072.0,32197.0
